age,workclass,education,education-num,marital-status,occupation,relationship,race
73,Without-pay,Preschool,14,Married-AF-spouse,Exec-managerial,Unmarried,Black
62,?,Masters,9,Widowed,Armed-Forces,Husband,Other
39,Self-emp-not-inc,Preschool,4,Married-AF-spouse,Armed-Forces,Unmarried,Other
57,Self-emp-inc,Doctorate,9,Never-married,Craft-repair,Husband,Amer-Indian-Eskimo
80,Self-emp-inc,12th,11,Divorced,Tech-support,Wife,Other
34,Without-pay,Doctorate,9,Never-married,?,Husband,Black
44,Without-pay,Doctorate,11,Married-spouse-absent,Armed-Forces,Husband,Other
80,Private,Masters,11,Married-civ-spouse,Tech-support,Husband,Amer-Indian-Eskimo
36,Local-gov,1st-4th,12,Separated,?,Not-in-family,White
90,Self-emp-inc,Some-college,5,Never-married,Machine-op-inspct,Own-child,Other
28,Without-pay,Prof-school,3,Married-AF-spouse,Adm-clerical,Wife,Asian-Pac-Islander
41,Without-pay,Prof-school,4,Widowed,Prof-specialty,Other-relative,Asian-Pac-Islander
27,Local-gov,5th-6th,4,Widowed,Prof-specialty,Other-relative,White
80,Local-gov,11th,14,Divorced,Machine-op-inspct,Unmarried,White
39,Without-pay,Preschool,9,Married-AF-spouse,Prof-specialty,Unmarried,Other
45,?,7th-8th,16,Never-married,Tech-support,Unmarried,Amer-Indian-Eskimo
33,Federal-gov,5th-6th,4,Never-married,?,Unmarried,White
52,Local-gov,11th,16,Divorced,Sales,Unmarried,White
29,Self-emp-inc,Assoc-voc,3,Married-civ-spouse,Adm-clerical,Husband,Other
61,Without-pay,11th,4,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander
90,Without-pay,Preschool,14,Married-AF-spouse,Machine-op-inspct,Unmarried,Black
62,?,12th,11,Divorced,?,Wife,Amer-Indian-Eskimo
62,Private,5th-6th,14,Widowed,Handlers-cleaners,Unmarried,White
36,Self-emp-inc,Prof-school,12,Never-married,Prof-specialty,Wife,White
62,Private,9th,14,Never-married,Transport-moving,Unmarried,Black
36,Self-emp-inc,11th,16,Divorced,Sales,Unmarried,Amer-Indian-Eskimo
33,?,Some-college,16,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo
19,Local-gov,5th-6th,9,Widowed,Adm-clerical,Unmarried,White
80,?,Prof-school,14,Married-AF-spouse,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo
80,?,12th,11,Divorced,Tech-support,Wife,Amer-Indian-Eskimo
20,Without-pay,Prof-school,3,Widowed,Adm-clerical,Wife,Asian-Pac-Islander
41,Never-worked,Doctorate,9,Never-married,Machine-op-inspct,Husband,White
42,Local-gov,11th,16,Divorced,Armed-Forces,Unmarried,White
44,Without-pay,Prof-school,11,Married-AF-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo
72,Local-gov,Prof-school,14,Separated,Handlers-cleaners,Husband,White
90,Without-pay,Doctorate,3,Married-spouse-absent,Other-service,Husband,Asian-Pac-Islander
48,?,10th,11,Separated,Tech-support,Other-relative,Other
46,Local-gov,5th-6th,9,Never-married,Priv-house-serv,Unmarried,White
33,Self-emp-not-inc,Prof-school,9,Never-married,Prof-specialty,Unmarried,Other
40,Local-gov,Prof-school,9,Never-married,Armed-Forces,Unmarried,White
35,Self-emp-inc,Preschool,9,Married-AF-spouse,Other-service,Unmarried,White
90,Private,12th,14,Divorced,Other-service,Wife,White
40,Without-pay,11th,1,Separated,Other-service,Not-in-family,Asian-Pac-Islander
90,Self-emp-inc,Doctorate,9,Divorced,?,Husband,White
33,Without-pay,Assoc-voc,14,Divorced,Other-service,Other-relative,Black
62,Self-emp-inc,9th,16,Never-married,Protective-serv,Unmarried,Amer-Indian-Eskimo
37,Without-pay,Prof-school,3,Never-married,Armed-Forces,Wife,Asian-Pac-Islander
41,Self-emp-inc,Doctorate,3,Married-spouse-absent,Other-service,Husband,White
55,Without-pay,9th,10,Married-AF-spouse,Priv-house-serv,Other-relative,Asian-Pac-Islander
69,Without-pay,Doctorate,14,Married-spouse-absent,Exec-managerial,Husband,Other
34,Federal-gov,Preschool,9,Married-AF-spouse,Armed-Forces,Other-relative,White
37,Federal-gov,1st-4th,12,Married-spouse-absent,?,Not-in-family,White
90,?,11th,1,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo
45,?,5th-6th,16,Never-married,Sales,Unmarried,Amer-Indian-Eskimo
90,Private,5th-6th,16,Never-married,Tech-support,Unmarried,White
18,Without-pay,Some-college,10,Widowed,Adm-clerical,Own-child,Asian-Pac-Islander
38,Private,Prof-school,9,Widowed,Armed-Forces,Husband,White
37,Private,Prof-school,14,Separated,Exec-managerial,Unmarried,Black
90,Self-emp-inc,9th,11,Never-married,Tech-support,Own-child,Amer-Indian-Eskimo
55,Local-gov,Doctorate,14,Married-spouse-absent,Exec-managerial,Husband,White
50,Without-pay,10th,14,Never-married,Craft-repair,Not-in-family,Black
57,Local-gov,5th-6th,9,Widowed,Priv-house-serv,Unmarried,White
26,Self-emp-not-inc,Prof-school,14,Never-married,Exec-managerial,Unmarried,White
32,?,Prof-school,9,Married-AF-spouse,Prof-specialty,Unmarried,Amer-Indian-Eskimo
45,Self-emp-inc,Bachelors,16,Never-married,Armed-Forces,Wife,Amer-Indian-Eskimo
50,Local-gov,Some-college,12,Widowed,Craft-repair,Wife,White
41,Private,Prof-school,9,Never-married,?,Unmarried,Black
22,Local-gov,5th-6th,4,Never-married,Transport-moving,Other-relative,White
62,Without-pay,10th,14,Never-married,Handlers-cleaners,Not-in-family,Black
34,Self-emp-inc,Bachelors,1,Widowed,Other-service,Not-in-family,Amer-Indian-Eskimo
43,Self-emp-not-inc,9th,4,Married-AF-spouse,Armed-Forces,Unmarried,White
18,Federal-gov,Prof-school,2,Never-married,Exec-managerial,Other-relative,White
51,Local-gov,Some-college,13,Divorced,Craft-repair,Wife,White
49,Without-pay,1st-4th,15,Separated,Sales,Own-child,Black
62,Without-pay,1st-4th,5,Married-spouse-absent,Handlers-cleaners,Own-child,Asian-Pac-Islander
51,Local-gov,10th,2,Never-married,Exec-managerial,Other-relative,White
50,Private,Doctorate,9,Divorced,Craft-repair,Husband,Black
80,Private,Prof-school,16,Never-married,Tech-support,Wife,Amer-Indian-Eskimo
45,Without-pay,1st-4th,11,Married-spouse-absent,Tech-support,Own-child,Black
45,Never-worked,HS-grad,9,Widowed,Armed-Forces,Own-child,White
57,Without-pay,11th,14,Divorced,Machine-op-inspct,Unmarried,Black
67,Without-pay,Prof-school,14,Married-AF-spouse,Handlers-cleaners,Unmarried,Black
21,Local-gov,HS-grad,2,Widowed,Farming-fishing,Other-relative,White
45,Local-gov,9th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,White
50,Without-pay,Assoc-acdm,1,Never-married,Sales,Own-child,Asian-Pac-Islander
90,?,HS-grad,9,Divorced,Adm-clerical,Other-relative,Other
35,?,10th,1,Widowed,?,Not-in-family,Amer-Indian-Eskimo
33,Without-pay,5th-6th,4,Never-married,Other-service,Other-relative,Asian-Pac-Islander
39,Without-pay,Doctorate,16,Never-married,Armed-Forces,Unmarried,Amer-Indian-Eskimo
28,Local-gov,11th,4,Separated,Adm-clerical,Unmarried,White
90,Local-gov,10th,8,Widowed,Machine-op-inspct,Other-relative,White
35,?,Prof-school,3,Never-married,Other-service,Wife,Other
52,?,Doctorate,3,Married-AF-spouse,Craft-repair,Husband,Other
44,Federal-gov,5th-6th,14,Widowed,Machine-op-inspct,Unmarried,White
55,Self-emp-inc,10th,9,Widowed,Craft-repair,Not-in-family,Other
39,Private,Some-college,11,Married-civ-spouse,Tech-support,Wife,Amer-Indian-Eskimo
22,Private,1st-4th,15,Separated,Prof-specialty,Own-child,Amer-Indian-Eskimo
17,Private,5th-6th,4,Never-married,Prof-specialty,Unmarried,White
80,Private,Prof-school,3,Widowed,Other-service,Wife,White
68,Self-emp-inc,11th,14,Divorced,Exec-managerial,Unmarried,Other
35,Without-pay,Doctorate,16,Never-married,Armed-Forces,Husband,Amer-Indian-Eskimo
32,Without-pay,Doctorate,14,Never-married,Machine-op-inspct,Husband,Black
50,Private,9th,10,Married-civ-spouse,Priv-house-serv,Unmarried,White
62,?,1st-4th,1,Married-spouse-absent,Protective-serv,Own-child,Amer-Indian-Eskimo
32,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,?,Other-relative,Amer-Indian-Eskimo
57,Private,Doctorate,11,Married-AF-spouse,Tech-support,Husband,Amer-Indian-Eskimo
50,Self-emp-inc,Preschool,9,Married-AF-spouse,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo
40,Self-emp-inc,9th,16,Divorced,Armed-Forces,Unmarried,Amer-Indian-Eskimo
41,Without-pay,11th,14,Separated,Other-service,Unmarried,Black
51,Self-emp-inc,Prof-school,14,Never-married,Craft-repair,Other-relative,Amer-Indian-Eskimo
49,?,Doctorate,14,Married-spouse-absent,Priv-house-serv,Husband,Other
69,Without-pay,10th,15,Widowed,Handlers-cleaners,Own-child,Amer-Indian-Eskimo
62,?,1st-4th,5,Married-spouse-absent,Protective-serv,Own-child,Other
62,Without-pay,Prof-school,11,Separated,Handlers-cleaners,Wife,Black
27,Federal-gov,11th,4,Divorced,Exec-managerial,Unmarried,White
41,?,Preschool,11,Married-AF-spouse,?,Other-relative,Amer-Indian-Eskimo
36,Without-pay,Doctorate,3,Divorced,Sales,Husband,Asian-Pac-Islander
37,Self-emp-inc,9th,16,Never-married,Sales,Unmarried,Amer-Indian-Eskimo
80,Self-emp-inc,11th,14,Divorced,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo
44,Self-emp-inc,11th,16,Separated,Armed-Forces,Unmarried,Amer-Indian-Eskimo
62,Local-gov,5th-6th,9,Never-married,?,Unmarried,White
66,Self-emp-inc,Assoc-voc,10,Divorced,Exec-managerial,Other-relative,White
36,?,Some-college,11,Married-civ-spouse,?,Own-child,Amer-Indian-Eskimo
90,Without-pay,12th,14,Divorced,Machine-op-inspct,Wife,Black
39,Self-emp-inc,10th,1,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo
56,?,Bachelors,6,Widowed,Protective-serv,Wife,Other
69,Private,Some-college,13,Never-married,Exec-managerial,Wife,White
72,Without-pay,10th,14,Widowed,Exec-managerial,Not-in-family,Black
51,Local-gov,11th,9,Separated,Tech-support,Unmarried,White
32,Private,5th-6th,9,Never-married,Armed-Forces,Unmarried,White
23,Without-pay,Prof-school,3,Never-married,Adm-clerical,Husband,Asian-Pac-Islander
32,Without-pay,Prof-school,9,Married-AF-spouse,Armed-Forces,Other-relative,Black
80,Local-gov,Prof-school,14,Never-married,Machine-op-inspct,Unmarried,White
42,Self-emp-inc,Doctorate,11,Divorced,?,Husband,Amer-Indian-Eskimo
32,Local-gov,Some-college,14,Married-civ-spouse,Other-service,Not-in-family,White
29,Without-pay,HS-grad,11,Widowed,Adm-clerical,Other-relative,Other
43,Local-gov,9th,16,Married-civ-spouse,Sales,Not-in-family,White
23,Local-gov,5th-6th,2,Never-married,Transport-moving,Other-relative,White
36,Self-emp-inc,1st-4th,16,Separated,Sales,Not-in-family,Amer-Indian-Eskimo
62,?,10th,1,Never-married,Transport-moving,Not-in-family,Amer-Indian-Eskimo
19,Self-emp-inc,10th,4,Married-spouse-absent,Prof-specialty,Other-relative,White
52,Self-emp-inc,11th,14,Divorced,Craft-repair,Unmarried,Other
36,Private,5th-6th,12,Never-married,Prof-specialty,Wife,White
62,Local-gov,5th-6th,2,Never-married,Exec-managerial,Other-relative,White
67,Private,10th,14,Separated,Exec-managerial,Not-in-family,White
62,Self-emp-inc,12th,11,Divorced,Handlers-cleaners,Wife,Amer-Indian-Eskimo
66,Private,11th,16,Separated,Protective-serv,Unmarried,White
42,Private,Prof-school,2,Never-married,Farming-fishing,Other-relative,White
80,Private,Doctorate,14,Widowed,Machine-op-inspct,Husband,Black
39,Without-pay,Prof-school,10,Widowed,?,Husband,Asian-Pac-Islander
90,Private,5th-6th,10,Widowed,?,Other-relative,White
40,?,Prof-school,5,Separated,Farming-fishing,Husband,Other
55,?,Some-college,15,Never-married,Priv-house-serv,Wife,Other
57,Without-pay,Doctorate,3,Widowed,Craft-repair,Husband,Asian-Pac-Islander
66,Without-pay,Some-college,3,Divorced,Handlers-cleaners,Wife,Asian-Pac-Islander
90,Self-emp-inc,Some-college,15,Married-civ-spouse,Machine-op-inspct,Own-child,Other
53,Self-emp-inc,Some-college,1,Married-civ-spouse,Transport-moving,Own-child,Amer-Indian-Eskimo
42,Self-emp-inc,5th-6th,16,Widowed,Armed-Forces,Unmarried,Amer-Indian-Eskimo
48,Self-emp-inc,12th,6,Divorced,Priv-house-serv,Wife,Amer-Indian-Eskimo
69,Without-pay,HS-grad,10,Married-spouse-absent,Exec-managerial,Other-relative,Black
80,Self-emp-inc,11th,9,Separated,Tech-support,Unmarried,Amer-Indian-Eskimo
26,?,Prof-school,3,Married-AF-spouse,Adm-clerical,Wife,Other
