age,workclass,education,education-num,marital-status,occupation,relationship,race
38,?,Bachelors,11,Never-married,?,Other-relative,White
47,?,Assoc-voc,3,Widowed,Adm-clerical,Husband,White
77,Private,Doctorate,3,Divorced,Handlers-cleaners,Not-in-family,White
34,?,Bachelors,16,Married-civ-spouse,Handlers-cleaners,Not-in-family,Asian-Pac-Islander
42,State-gov,12th,10,Married-spouse-absent,Farming-fishing,Own-child,White
77,Private,Some-college,16,Married-civ-spouse,Priv-house-serv,Not-in-family,White
61,?,Bachelors,11,Widowed,Machine-op-inspct,Husband,White
21,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Other-relative,White
62,?,Some-college,10,Never-married,Handlers-cleaners,Unmarried,White
68,Private,Bachelors,13,Divorced,Prof-specialty,Husband,White
36,?,Bachelors,10,Widowed,Adm-clerical,Own-child,White
47,Private,Bachelors,9,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander
30,Local-gov,Bachelors,7,Divorced,Prof-specialty,Husband,Asian-Pac-Islander
76,Private,HS-grad,13,Separated,Transport-moving,Husband,White
90,?,Assoc-acdm,10,Never-married,Sales,Not-in-family,White
20,Local-gov,Assoc-acdm,3,Never-married,Other-service,Not-in-family,White
41,Private,Some-college,13,Married-spouse-absent,Sales,Own-child,Asian-Pac-Islander
44,?,HS-grad,13,Never-married,Farming-fishing,Husband,White
21,Self-emp-inc,HS-grad,16,Married-civ-spouse,Exec-managerial,Husband,White
20,State-gov,Some-college,16,Married-civ-spouse,Protective-serv,Other-relative,Asian-Pac-Islander
77,Private,Bachelors,16,Married-civ-spouse,Adm-clerical,Husband,White
17,Private,Bachelors,10,Divorced,Craft-repair,Other-relative,White
51,State-gov,Assoc-acdm,9,Married-civ-spouse,Protective-serv,Not-in-family,White
50,Private,Doctorate,7,Married-civ-spouse,Transport-moving,Own-child,White
34,Private,Assoc-acdm,9,Never-married,Craft-repair,Own-child,Asian-Pac-Islander
77,Private,Bachelors,3,Married-civ-spouse,Handlers-cleaners,Husband,White
39,Private,Some-college,13,Married-civ-spouse,Transport-moving,Husband,Black
77,Private,Bachelors,9,Widowed,Handlers-cleaners,Other-relative,White
38,Private,Assoc-acdm,10,Widowed,Handlers-cleaners,Husband,White
34,State-gov,Assoc-voc,11,Widowed,?,Husband,Asian-Pac-Islander
41,Private,Some-college,13,Married-civ-spouse,?,Husband,White
90,State-gov,Assoc-acdm,10,Married-civ-spouse,Sales,Husband,White
21,Private,HS-grad,10,Divorced,Adm-clerical,Own-child,Black
30,Private,Some-college,13,Married-civ-spouse,Protective-serv,Not-in-family,Asian-Pac-Islander
36,State-gov,Bachelors,13,Separated,?,Not-in-family,White
61,Private,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White
44,Private,Some-college,9,Married-civ-spouse,Machine-op-inspct,Not-in-family,White
28,Private,HS-grad,12,Divorced,Craft-repair,Unmarried,White
45,Private,HS-grad,10,Married-spouse-absent,Handlers-cleaners,Not-in-family,White
62,Private,Bachelors,3,Never-married,Handlers-cleaners,Husband,Black
62,Private,Assoc-acdm,10,Married-spouse-absent,Machine-op-inspct,Unmarried,Black
17,State-gov,Masters,3,Never-married,Machine-op-inspct,Own-child,White
62,?,Assoc-acdm,1,Married-civ-spouse,Prof-specialty,Husband,White
