age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
27,Private,162593,Some-college,5,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,35,United-States,<=50K
54,Private,206520,HS-grad,13,Widowed,Craft-repair,Husband,White,Male,0,1902,50,United-States,<=50K
54,Private,200318,HS-grad,10,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,1340,20,United-States,>50K
26,Private,161819,HS-grad,6,Never-married,Tech-support,Wife,White,Female,0,810,50,United-States,<=50K
22,Private,206520,HS-grad,11,Divorced,Craft-repair,Own-child,White,Female,0,1485,80,Canada,<=50K
22,Private,175681,HS-grad,10,Married-civ-spouse,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,2002,11,United-States,<=50K
42,State-gov,29807,Preschool,10,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0,0,60,United-States,<=50K
39,Self-emp-not-inc,191628,HS-grad,10,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,2993,0,45,United-States,<=50K
64,Private,334039,Bachelors,11,Never-married,Sales,Husband,Black,Male,4787,0,40,United-States,<=50K
68,Private,388112,Some-college,15,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,25,United-States,<=50K
35,Private,84726,7th-8th,15,Separated,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,45,United-States,<=50K
24,Private,222641,Bachelors,11,Divorced,Tech-support,Husband,White,Male,7298,0,40,United-States,<=50K
25,Local-gov,197060,HS-grad,14,Never-married,Prof-specialty,Unmarried,White,Male,2050,1974,40,United-States,<=50K
40,State-gov,368925,HS-grad,11,Never-married,Other-service,Husband,White,Male,0,0,11,United-States,<=50K
22,Private,22428,HS-grad,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,21,United-States,<=50K
21,Private,111625,10th,9,Never-married,Machine-op-inspct,Wife,White,Male,0,2174,40,United-States,<=50K
39,Private,27834,10th,13,Never-married,Other-service,Wife,White,Male,0,3683,40,United-States,<=50K
58,Self-emp-inc,24050,HS-grad,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Laos,<=50K
62,Private,183175,Assoc-acdm,11,Never-married,Adm-clerical,Own-child,White,Male,0,1721,65,United-States,<=50K
33,Self-emp-not-inc,133520,Some-college,9,Divorced,Sales,Unmarried,White,Male,0,0,85,United-States,>50K
64,Self-emp-inc,160158,Preschool,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,4931,1902,40,United-States,<=50K
54,?,124827,Bachelors,14,Never-married,Craft-repair,Own-child,White,Male,0,1974,35,United-States,<=50K
53,Private,219240,HS-grad,9,Never-married,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,169958,HS-grad,9,Never-married,Adm-clerical,Husband,White,Male,0,0,30,United-States,>50K
46,Private,29582,HS-grad,5,Married-AF-spouse,Sales,Unmarried,Black,Male,3411,0,45,United-States,<=50K
41,Self-emp-not-inc,214117,Preschool,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,Jamaica,<=50K
27,Local-gov,92141,Some-college,9,Widowed,Transport-moving,Husband,White,Male,0,0,75,United-States,<=50K
47,Self-emp-inc,328669,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,2993,0,85,United-States,<=50K
