age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
45,?,252046,Some-college,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,7430,0,29,United-States,<=50K
71,Private,237735,HS-grad,9,Divorced,?,Husband,White,Female,3411,2042,77,United-States,<=50K
36,?,184787,HS-grad,13,Married-civ-spouse,?,Husband,White,Male,3411,0,6,Puerto-Rico,<=50K
27,Private,140459,HS-grad,10,Married-civ-spouse,Sales,Own-child,White,Male,0,2051,45,United-States,<=50K
41,Private,153323,Some-college,14,Never-married,Protective-serv,Not-in-family,White,Male,9562,0,40,United-States,<=50K
34,Private,203353,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Female,15020,0,20,Mexico,<=50K
25,Local-gov,216639,Some-college,10,Never-married,?,Husband,White,Male,6849,0,35,United-States,<=50K
34,Private,214896,7th-8th,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
19,Private,358682,Some-college,13,Never-married,Craft-repair,Not-in-family,White,Female,4787,0,50,Hungary,<=50K
45,Federal-gov,82210,11th,13,Divorced,Exec-managerial,Own-child,White,Female,2961,0,60,Puerto-Rico,<=50K
19,Local-gov,80651,Bachelors,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,1762,40,United-States,>50K
42,Self-emp-not-inc,188008,HS-grad,13,Widowed,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
37,Private,275438,10th,5,Separated,Sales,Own-child,White,Male,3418,0,12,United-States,<=50K
55,Private,304873,Bachelors,9,Never-married,Sales,Husband,White,Male,0,0,97,Peru,>50K
46,Private,100828,Doctorate,11,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
32,State-gov,125591,Some-college,10,Divorced,Craft-repair,Own-child,White,Female,3411,0,33,United-States,<=50K
19,Federal-gov,180284,12th,13,Never-married,Prof-specialty,Not-in-family,White,Female,20051,0,87,United-States,<=50K
26,Private,211028,Bachelors,10,Separated,?,Unmarried,White,Male,1831,0,63,United-States,<=50K
71,Private,184986,HS-grad,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,?,<=50K
50,Self-emp-inc,520759,7th-8th,9,Never-married,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Female,1506,1573,30,Ireland,<=50K
26,Federal-gov,287315,HS-grad,5,Divorced,?,Own-child,White,Female,0,2377,12,Ireland,<=50K
44,Private,217169,HS-grad,13,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,2036,0,84,United-States,<=50K
48,State-gov,160724,11th,4,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
36,Private,182855,Bachelors,10,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,20,Puerto-Rico,<=50K
57,Federal-gov,149040,Bachelors,12,Never-married,Machine-op-inspct,Unmarried,White,Female,3456,0,53,United-States,<=50K
56,?,213140,11th,7,Never-married,Protective-serv,Own-child,Black,Female,4787,0,45,United-States,<=50K
67,Self-emp-not-inc,462890,10th,10,Married-civ-spouse,Tech-support,Husband,White,Male,3818,2042,53,United-States,<=50K
